Id,TURNO_MATRICULA,SITUACAO_CIVIL_ALUNO,SEXO_ALUNO,DATA_CADASTRO_REQUERIMENTO,MOTIVO_REQUERIMENTO,TURMA,AREA_TURMA
1,Noturno,Casado(a),Masculino,2019-09-12,Outros Motivos,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
2,Noturno,Solteiro(a),Feminino,2019-09-10,Outros Motivos,CURSO SUPERIOR DE TECNOLOGIA EM LOGÍSTICA - MÓDULO II,Gestäo
3,Noturno,Solteiro(a),Feminino,2019-09-10,Dificuldades Financeiras,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
4,Noturno,Solteiro(a),Feminino,2019-09-10,Não se identificou com o curso,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - MÓDULO II,Informática
5,Noturno,União Estável,Masculino,2019-09-09,Não se adaptou a metodologia,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
6,Noturno,Casado(a),Masculino,2019-09-06,Motivo de Trabalho,CURSO SUPERIOR DE TECNOLOGIA EM LOGÍSTICA - MÓDULO IV,Gestäo
7,Noturno,Solteiro(a),Masculino,2019-09-06,Motivo de Estudo,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO II,Informática
8,Noturno,Solteiro(a),Masculino,2019-09-05,Outros Motivos,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO II,Informática
9,Noturno,Solteiro(a),Masculino,2019-09-05,Não se identificou com o curso,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - II MÓDULO,Design
10,Noturno,Solteiro(a),Masculino,2019-09-05,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
11,Noturno,Solteiro(a),Feminino,2019-09-03,Outros Motivos,CURSO SUPERIOR DE TECNOLOGIA EM ESTÉTICA E COSMÉTICA - MÓDULO II,Saúde
12,Noturno,Solteiro(a),Masculino,2019-09-03,Outros Motivos,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
13,Noturno,Solteiro(a),Masculino,2019-09-03,Outros Motivos,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
14,Noturno,Casado(a),Masculino,2019-09-03,Outros Motivos,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
15,Noturno,Casado(a),Feminino,2019-09-03,Outros Motivos,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
